,descricao,calculado,correto,volumeTipo,qtdInsumos,farma,incerteza,ajuste,criado
0,20 ML  | VITAMINA D LIQ 40.000UI/ML  15000UI; SOLUCAO GOTAS P/ VIT OLEOSAS 0.500ML,151155.0,43.5,ML,2,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:57:13
1,90 CP  | DIACEREINA 50MG CAPS  90CAP,85.5078606,99.6,CP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:57:13
2,60 CAP | TANSULOSINA 1/100 0.400MG,41.455981296000004,53.0,CAP,1,BA0DA2D8-0657-4463-8E5F-178B823F2A67,0,0,2020-07-17 11:56:15
3,30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; LACTIS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  100MG,31.306266,56.0,CAP,5,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:56:13
4,20 ML  | VITAMINA D LIQ 40.000UI/ML  15000UI; SOLUCAO GOTAS P/ VIT OLEOSAS 0.500ML,151155.0,43.5,ML,2,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:56:13
5,180 CP  | OMEGA 3  180UN,339.19155,108.0,CP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:56:08
6,30 ENV | L-GLUTAMINA  10G,128.48427,125.0,ENV,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:55:34
7,30 CP  | VITAMINA D 10.000UI CAP OLEOSA  30CAP,7.728757200000001,39.9,CP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:55:12
8,60 CAP | MAGNESIO QUELADO 30%  200MG,21.386135999999997,45.9,CAP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:55:12
9,60 G   | ESTRIOL BASE   2MG; ESTRADIOL BASE 0.500MG; PROGESTERONA BASE  20MG; GEL TRANSDERMICO HORMONAL  1G,7493.696901539999,176.7,G,4,2CF4EC23-F78C-4318-98BE-7FBD17318958,1,0,2020-07-17 11:55:12
10,60 CAP | PICOLINATO CROMO  200MCG,1.128,27.0,CAP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:55:08
11,60 CAP | VITAMINA D  5000UI,4.4399999999999995,40.0,CAP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:54:08
12,60 CAP | VITAMINA C  1G,48.47029596,85.0,CAP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:54:08
13,60 CAP | ESCITALOPRAM  10MG; ZOLPIDEM  3MG,33.633084000000004,83.0,CAP,2,BA0DA2D8-0657-4463-8E5F-178B823F2A67,0,0,2020-07-17 11:53:15
14,30 G   | PEROXIDO DE BENZOILA 2.500%; CLINDAMICINA CLORIDRATO  1%; ADAPALENO 0.100%; BASE PRIMER SECATIVO  30G,17.441538,52.5,G,4,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:53:14
15,60 CP  | CARB CALCIO 500MG+VIT D 400UI  60CAP,16.292988,45.0,CP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:53:14
16,60 G   | TESTOSTERONA BASE  8MG,336.114,116.0,G,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:53:14
17,35 CAP | OSTARINE  30MG,232.47168,321.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,1,0,2020-07-17 11:52:34
18,60 CAP | IOIMBINA  5MG,7.9694292,30.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:51:35
19,30 CAP | TADALAFILA  20MG; TRIBULUS TERRESTRIS  40%  500MG; VITAMINA E  400MG; CATUABA  500MG; GINSENG  100MG,107.87594399999999,79.0,CAP,5,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-17 11:51:35
20,60 CAP | VITAMINA K2 MK7  120MCG; VIT A   10000UI; COLECALCIFEROL  20000UI,19.196399999999997,62.6,CAP,3,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:51:15
21,60 CAP | COLAGENO TIPO 2  40MG,65.76275999999999,91.0,CAP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:51:15
22,480 G   | CREATINA  480G,256.4352,130.5,G,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:50:08
23,60 CAP | LOWAT  450MG,309.08925,343.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:49:35
24,60 CAP | PICOLINATO DE CROMO  100MCG,0.564,19.0,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:49:35
25,40 G   | ACIDO RETINOICO FORMUL 0.025%; ACIDO KOJICO  2%; ALFA ARBUTIN  2%; ALFA BISABOLOL  2%; HIDROQUINONA PO  4%; BASE CREME  40G,51.26977812,67.4,G,6,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:49:13
26,120 CP  | HIDROCORTISONA 10MG 70/30  120UN,229.78998719999998,120.6,CP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:49:13
27,60 CAP | ZINCO QUELADO  25MG; COBRE QUELADO  1MG; SELENIO QUELADO  100MCG; KELP IODINE EXTRACT 1%  30MG; METILCOBALAMINA 1:100  1000MCG; PIRIDOXAL-5-FOSFATO  25MG,81.5399757,102.6,CAP,6,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:49:13
28,90 CAP | TRIBULUS TERRESTRIS  40%  200MG; MACA  100MG; LONG JACK  150MG,99.2017755,81.0,CAP,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:48:34
29,120 CAP | INSEA 2  250MG,570.4920000000001,203.5,CAP,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:48:34
30,60 CAP | PROGESTERONA MICRONIZADA  20MG,22.2601536,45.0,CAP,1,2CF4EC23-F78C-4318-98BE-7FBD17318958,0,0,2020-07-17 11:47:13
31,60 CAP | IOIMBINA  10MG,15.9388584,57.0,CAP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:47:07
32,100 G   | UREIA  20%; MICROESF.BRANCAS P 1.500%; CREME LANETTE  100G,7.834436,41.0,G,3,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,4,0,2020-07-17 11:46:34
33,150 ML  | SAB GEL PH FISIOLOGICO  150ML,11.902275,35.0,ML,1,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:46:34
34,50 G   | NIFEDIPINA 0.300%; LIDOCAINA 1.500%; BASE POMADA RETAL  50G,19.73529615,50.0,G,3,2CF4EC23-F78C-4318-98BE-7FBD17318958,4,0,2020-07-17 11:46:12
35,120 CAP | CAFEINA  200MG,60.56135999999999,55.0,CAP,1,1DA46F55-BA5B-4089-9D2E-E3B59A7CC9C0,0,0,2020-07-17 11:46:08
36,60 CAP | PASSIFLORA  250MG; VALERIANA  50MG,18.349908,27.5,CAP,2,DA70CB1E-FBEA-4CBA-97E9-509A8D2050C2,0,0,2020-07-17 11:45:34
